Old_name	New_name	Library_name	Population	Position in cluster	Sex
DK09	DK09	TSP54	DK	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP54/TSP54.bam	1
DK10	DK10	TSP79	DK	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP79/TSP79.bam	2
EC01	EC01	IC11	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC11/IC11.bam	2
EC02	EC02	IC12	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC12/IC12.bam	2
EC03	EC03	IC13	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC13/IC13.bam	2
EC04	EC04	IC14	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC14/IC14.bam	2
EC05	EC05	IC15	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC15/IC15.bam	1
EC06	EC06	IC16	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC16/IC16.bam	1
EC07	EC07	IC17	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC17/IC17.bam	1
EC08	EC08	IC18	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC18/IC18.bam	2
EC09	EC09	IC19	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC19/IC19.bam	1
EC10	EC10	IC20	EC	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/IC20/IC20.bam	2
FR01	FR01	FR01	FR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/FR01/FR01.bam	1
FR02	FR02	FR02	FR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/FR02/FR02.bam	1
FR03	FR03	FR03	FR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/FR03/FR03.bam	1
FR04	FR04	FR04	FR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/FR04/FR04.bam	1
FR05	FR05	FR05	FR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/FR05/FR05.bam	1
GB01	GB01	UK01	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK01/UK01.bam	1
GB02	GB02	UK03	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK03/UK03.bam	1
GB03	GB03	UK14	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK14/UK14.bam	2
GB04	GB04	UK15	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK15/UK15.bam	2
GB05	GB05	UK02	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK02/UK02.bam	1
GB06	GB06	UK04	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK04/UK04.bam	1
GB07	GB07	UK05	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK05/UK05.bam	1
GB08	GB08	UK06	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK06/UK06.bam	1
GB09	GB09	UK07	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK07/UK07.bam	1
GB10	GB10	UK10	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK10/UK10.bam	1
GB11	GB11	UK11	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK11/UK11.bam	1
GB12	GB12	UK12	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK12/UK12.bam	1
GB13	GB13	UK08	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK08/UK08.bam	1
GB14	GB14	UK09	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK09/UK09.bam	1
GB15	GB15	UK13	GB	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/UK13/UK13.bam	1
GR01	GR01	TSP78	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP78/TSP78.bam	1
GR02	GR02	TSP40	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP40/TSP40.bam	1
GR03	GR03	TSP87	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP87/TSP87.bam	1
GR04	GR04	TSP35	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP35/TSP35.bam	2
GR05	GR05	TSP57	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP57/TSP57.bam	2
GR06	GR06	TSP49	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP49/TSP49.bam	2
GR06A	GR06A	TSP49A	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP49A/TSP49A.bam	2
GR07	GR07	TSP65	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP65/TSP65.bam	1
GR08	GR08	TSP39	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP39/TSP39.bam	2
GR09	GR09	TSP34	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP34/TSP34.bam	2
GR09A	GR09A	TSP60	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP60/TSP60.bam	2
GR10	GR10	TSP38	GR	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP38/TSP38.bam	1
