Old_name	New_name	Library_name	Population	Position in cluster	Sex
883063H11	883063	P2_883063H11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_883063H11/883063H11.bam	2
889010D1	889010	P3_889010D1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889010D1/889010D1.bam	1
889131H	889131	889131H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889131H/889131H.bam	1
889182H	889182	889182H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889182H/889182H.bam	1
889183B12	889183	P2_889183B12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889183B12/889183B12.bam	2
889252H	889252	889252H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/889252H/889252H.bam	1
889272E3	889272	P3_889272E3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889272E3/889272E3.bam	1
889378C12	889378	P2_889378C12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889378C12/889378C12.bam	1
889732E10	889732	P2_889732E10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_889732E10/889732E10.bam	1
889746H3	889746	P3_889746H3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889746H3/889746H3.bam	1
889771C1	889771	P3_889771C1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_889771C1/889771C1.bam	2
892465E2	892465	P3_892465E2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_892465E2/P3_892465E2.bam	2
895274G2	895274	P2_895274G2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_895274G2/895274G2.bam	2
895818A4	895818	P3_895818A4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_895818A4/895818A4.bam	2
896669A12	896669	P2_896669A12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_896669A12/896669A12.bam	1
898070D12	898070	P2_898070D12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898070D12/P2_898070D12.bam	2
898071G12	898071	P2_898071G12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898071G12/P2_898071G12.bam	2
898074H12	898074	P2_898074H12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898074H12/P2_898074H12.bam	2
898075G4	898075	P2_898075G4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898075G4/P2_898075G4.bam	1
898089E12	898089	P2_898089E12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898089E12/P2_898089E12.bam	1
898092F12	898092	P2_898092F12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_898092F12/P2_898092F12.bam	2
898172G9	898172	P2_898172G9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_898172G9/898172G9.bam	1
898350F9	898350	P2_898350F9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_898350F9/898350F9.bam	2
898630D4	898630	P2_898630D4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_898630D4/898630D4.bam	2
898887G3	898887	P3_898887G3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_898887G3/898887G3.bam	2
899009F1	899009	P3_899009F1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_899009F1/P3_899009F1.bam	1
CH01	898335	TSP01	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP01/TSP01.bam	2
CH02	898199	TSP02	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP02/TSP02.bam	1
CH03	898379	TSP03	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP03/TSP03.bam	1
CH04	898194	TSP04	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP04/TSP04.bam	1
CH05	M022121	TSP05	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP05/TSP05.bam	1
CH06	M022090	TSP06	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP06/TSP06.bam	1
CH07	M026047	TSP07	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP07/TSP07.bam	1
CH08	M005002	TSP08	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP08/TSP08.bam	1
CH09	M005030	TSP09	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP09/TSP09.bam	1
CH10	M011644	TSP10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP10/TSP10.bam	1
CH11	M011184	TSP11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP11/TSP11.bam	1
CH11A	M011184B	TSP42	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP42/TSP42.bam	1
CH12	M011743	TSP12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP12/TSP12.bam	2
CH13	M011852	TSP13	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP13/TSP13.bam	1
CH14	M011769	TSP14	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP14/TSP14.bam	2
CH15	M022383	TSP15	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP15/TSP15.bam	1
CH16	M010956	TSP16	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP16/TSP16.bam	1
CH17	M011830	TSP17	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP17/TSP17.bam	1
CH18	889332	TSP18	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP18/TSP18.bam	1
CH19	889397	TSP19	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP19/TSP19.bam	1
CH20	889400	TSP20	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP20/TSP20.bam	1
CH21	M022117	TSP21	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP21/TSP21.bam	1
CH22	889262	TSP22	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP22/TSP22.bam	1
CH23	898156	TSP23	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP23/TSP23.bam	1
CH24	M011995	TSP24	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP24/TSP24.bam	1
CH25	M011867	TSP25	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP25/TSP25.bam	1
CH26	M022662	TSP26	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP26/TSP26.bam	1
CH27	M011332	TSP27	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP27/TSP27.bam	1
CH28	898613	TSP28	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP28/TSP28.bam	1
CH29	M011971	TSP29	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP29/TSP29.bam	1
CH30	M026271	TSP30	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/1_BamsEU_LibNames/TSP30/TSP30.bam	1
M001542E4	M001542	P2_M001542E4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M001542E4/M001542E4.bam	1
M001670D6	M001670	P3_M001670D6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M001670D6/M001670D6.bam	1
M003801F2	M003801	P2_M003801F2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M003801F2/M003801F2.bam	1
M004207A1	M004207	M004207A1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M004207A1/M004207A1.bam	2
M004500E9	M004500	M004500E9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M004500E9/M004500E9.bam	2
M005013G1	M005013	P3_M005013G1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005013G1/P3_M005013G1.bam	1
M005025H1	M005025	P3_M005025H1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005025H1/P3_M005025H1.bam	1
M005026A2	M005026	P3_M005026A2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005026A2/P3_M005026A2.bam	1
M005170F3	M005170	P3_M005170F3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005170F3/P3_M005170F3.bam	2
M005188B4	M005188	P3_M005188B4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005188B4/P3_M005188B4.bam	1
M005219H9	M005219	P2_M005219H9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M005219H9/P2_M005219H9.bam	2
M005220A10	M005220	M005220A10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M005220A10/M005220A10.bam	2
M005221B10	M005221	M005221B10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M005221B10/M005221B10.bam	1
M005222C10	M005222	M005222C10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M005222C10/M005222C10.bam	1
M005238D10	M005238	M005238D10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M005238D10/M005238D10.bam	2
M005415E2	M005415	P2_M005415E2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M005415E2/M005415E2.bam	2
M005447C4	M005447	P3_M005447C4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005447C4/P3_M005447C4.bam	1
M005448D4	M005448	P3_M005448D4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005448D4/P3_M005448D4.bam	1
M005452G2	M005452	P3_M005452G2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M005452G2/M005452G2.bam	2
M005469C3	M005469	P2_M005469C3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M005469C3/M005469C3.bam	2
M005472B2	M005472	P3_M005472B2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005472B2/P3_M005472B2.bam	2
M005473C2	M005473	P3_M005473C2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M005473C2/P3_M005473C2.bam	1
M005673F4	M005673	P2_M005673F4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M005673F4/P2_M005673F4.bam	2
M006413D9	M006413	M006413D9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M006413D9/M006413D9.bam	1
M010969G4	M010969	M010969G4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M010969G4/M010969G4.bam	2
M011005E4	M011005	P3_M011005E4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011005E4/P3_M011005E4.bam	1
M011008F4	M011008	P3_M011008F4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011008F4/P3_M011008F4.bam	1
M011011H2	M011011	P3_M011011H2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011011H2/P3_M011011H2.bam	1
M011012D3	M011012	P3_M011012D3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011012D3/P3_M011012D3.bam	1
M011019H2	M011019	P2_M011019H2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M011019H2/M011019H2.bam	1
M011021A3	M011021	P3_M011021A3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011021A3/P3_M011021A3.bam	2
M011023B3	M011023	P3_M011023B3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011023B3/P3_M011023B3.bam	2
M011024C3	M011024	P3_M011024C3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P3_M011024C3/P3_M011024C3.bam	1
M011060D3	M011060	P2_M011060D3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M011060D3/M011060D3.bam	1
M011142F10	M011142	M011142F10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011142F10/M011142F10.bam	1
M011145G10	M011145	M011145G10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011145G10/M011145G10.bam	1
M011146H10	M011146	M011146H10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011146H10/M011146H10.bam	1
M011147A11	M011147	M011147A11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011147A11/M011147A11.bam	1
M011188H4	M011188	P2_M011188H4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M011188H4/P2_M011188H4.bam	1
M011192A5	M011192	P2_M011192A5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M011192A5/P2_M011192A5.bam	1
M011681B1	M011681	P2_M011681B1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M011681B1/M011681B1.bam	1
M011704B11	M011704	M011704B11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011704B11/M011704B11.bam	2
M011705C11	M011705	M011705C11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011705C11/M011705C11.bam	1
M011736B5	M011736	P2_M011736B5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M011736B5/P2_M011736B5.bam	1
M011740D5	M011740	P2_M011740D5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M011740D5/P2_M011740D5.bam	1
M011741C5	M011741	P2_M011741C5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M011741C5/P2_M011741C5.bam	2
M011816F9	M011816	M011816F9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M011816F9/M011816F9.bam	1
M011827G10	M011827	M011827G10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M011827G10/M011827G10.bam	1
M011997D11	M011997	M011997D11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011997D11/M011997D11.bam	2
M011998E11	M011998	M011998E11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M011998E11/M011998E11.bam	1
M012772H10	M012772	M012772H10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M012772H10/M012772H10.bam	2
M014481H	M014481	M014481H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M014481H/M014481H.bam	2
M014948H	M014948	M014948H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M014948H/M014948H.bam	2
M017312G7	M017312	M017312G7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M017312G7/M017312G7.bam	2
M022098G2	M022098	M022098G2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022098G2/M022098G2.bam	2
M022100E3	M022100	P2_M022100E3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M022100E3/P2_M022100E3.bam	1
M022113B3	M022113	P2_M022113B3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M022113B3/P2_M022113B3.bam	1
M022135A3	M022135	P2_M022135A3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M022135A3/P2_M022135A3.bam	2
M022154F10	M022154	M022154F10	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022154F10/M022154F10.bam	2
M022155A1	M022155	P2_M022155A1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M022155A1/M022155A1.bam	2
M022174H	M022174	M022174H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022174H/M022174H.bam	1
M022177E8	M022177	P2_M022177E8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M022177E8/M022177E8.bam	2
M022186D1	M022186	P2_M022186D1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M022186D1/M022186D1.bam	1
M022193C1	M022193	P2_M022193C1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M022193C1/P2_M022193C1.bam	2
M022581H	M022581	M022581H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022581H/M022581H.bam	1
M022647G8	M022647	P2_M022647G8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M022647G8/M022647G8.bam	2
M022673F8	M022673	P2_M022673F8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M022673F8/M022673F8.bam	1
M022674H	M022674	M022674H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022674H/M022674H.bam	2
M022680H	M022680	M022680H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022680H/M022680H.bam	2
M022694B11	M022694	M022694B11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M022694B11/M022694B11.bam	2
M022855F11	M022855	M022855F11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022855F11/M022855F11.bam	1
M022861G9	M022861	M022861G9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M022861G9/M022861G9.bam	2
M022865A5	M022865	M022865A5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M022865A5/M022865A5.bam	2
M022866D7	M022866	P2_M022866D7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M022866D7/P2_M022866D7.bam	2
M022875H	M022875	M022875H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022875H/M022875H.bam	2
M022891A7	M022891	M022891A7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M022891A7/M022891A7.bam	2
M026075H	M026075	M026075H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026075H/M026075H.bam	1
M026198E1	M026198	P2_M026198E1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026198E1/P2_M026198E1.bam	1
M026200F1	M026200	P2_M026200F1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026200F1/P2_M026200F1.bam	1
M026204G1	M026204	P2_M026204G1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026204G1/P2_M026204G1.bam	1
M026251A11	M026251	M026251A11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026251A11/M026251A11.bam	1
M026260H	M026260	M026260H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026260H/M026260H.bam	2
M026262F3	M026262	P2_M026262F3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026262F3/P2_M026262F3.bam	2
M026265H8	M026265	P2_M026265H8	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M026265H8/M026265H8.bam	1
M026276H	M026276	M026276H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026276H/M026276H.bam	1
M026357H1	M026357	P2_M026357H1	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026357H1/P2_M026357H1.bam	1
M026359D2	M026359	P2_M026359D2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026359D2/P2_M026359D2.bam	1
M026360A2	M026360	P2_M026360A2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026360A2/P2_M026360A2.bam	1
M026361F3	M026361	M026361F3	CH	/scratch/ssarmien/barnowl/bam_files/M026361F3/M026361F3.bam	1
M026451B12	M026451	M026451B12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026451B12/M026451B12.bam	1
M026452C12	M026452	M026452C12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026452C12/M026452C12.bam	2
M026459C9	M026459	M026459C9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026459C9/M026459C9.bam	2
M026478H	M026478	M026478H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026478H/M026478H.bam	1
M026583E3	M026583	M026583E3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026583E3/M026583E3.bam	2
M026603G3	M026603	P2_M026603G3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026603G3/P2_M026603G3.bam	2
M026604H3	M026604	P2_M026604H3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026604H3/P2_M026604H3.bam	2
M026605A4	M026605	P2_M026605A4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026605A4/P2_M026605A4.bam	1
M026606B4	M026606	P2_M026606B4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026606B4/P2_M026606B4.bam	2
M026607C4	M026607	P2_M026607C4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026607C4/P2_M026607C4.bam	1
M026611B2	M026611	P2_M026611B2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026611B2/P2_M026611B2.bam	1
M026612C2	M026612	P2_M026612C2	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026612C2/P2_M026612C2.bam	1
M026629C11	M026629	M026629C11	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026629C11/M026629C11.bam	1
M026825A9	M026825	P2_M026825A9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/P2_M026825A9/P2_M026825A9.bam	1
M026832H9	M026832	M026832H9	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026832H9/M026832H9.bam	1
M026960D12	M026960	M026960D12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026960D12/M026960D12.bam	1
M026961E12	M026961	M026961E12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026961E12/M026961E12.bam	2
M026962F12	M026962	M026962F12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026962F12/M026962F12.bam	1
M026963G12	M026963	M026963G12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026963G12/M026963G12.bam	2
M026964H12	M026964	M026964H12	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026964H12/M026964H12.bam	2
M026985H	M026985	M026985H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M026985H/M026985H.bam	2
M026986H4	M026986	M026986H4	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M026986H4/M026986H4.bam	2
M027889H	M027889	M027889H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M027889H/M027889H.bam	2
M027954C7	M027954	P2_M027954C7	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P2_M027954C7/M027954C7.bam	1
M027970G3	M027970	M027970G3	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M027970G3/M027970G3.bam	2
M028838H	M028838	M028838H	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M028838H/M028838H.bam	2
M031523B5	M031523	P3_M031523B5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/P3_M031523B5/M031523B5.bam	1
M031524A6	M031524	M031524A6	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M031524A6/M031524A6.bam	1
M031532	M031532	M031532	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/Common/2_BamsCH_LibNames/M031532/M031532.bam	1
M031534C5	M031534	M031534C5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031534C5/M031534C5.bam	2
M031535F5	M031535	M031535F5	CH	/work/FAC/FBM/DEE/jgoudet/barn_owl/atopalou/remapped_0622/M031535F5/M031535F5.bam	2
